,
,@678Oficial
,@adrianperezARG
Agustin Rossi,@AgustinRossi
,@AlexFreyre
Alfonso Prat-Gay,@alfonsopratgay
Alicia Kirchner,@aliciakirchner
Jorge Altamira,@altamirajorge
Anibal Ibarra,@anibarra
Amado Boudou,@BoudouAmado
Carlos Heller,@CarlosHeller
,@CarlosMelconian
Carlos Pirovano,@carlospirovano
Cristina Fernandez de Kirchner,@CFKargentina
,@Chequeado
,@chino_navarro
Cristian Ritondo,@cristianritondo
,@dalessamauricio
Daniel Amoroso,@danielamoroso
Daniel Scioli,@danielscioli
Fernando de Andreis,@deAndreis
Francisco de Narváez*,@denarvaez
Diana Maffia,@dianamaffia
,@diegokravetz
Diego Santilli,@diegosantilli
Roy Cortina,@DipRoyCortina
Alfredo Olmedo,@diputadoolmedo
,@ditulliojuli
,@DominguezJul
,@drapignata
Eduardo Duhalde,@eduardoaduhalde
,@elisacarrio
,@EPoliticaC5N
,@EquipoCFK
,@EricCalcagno
,@escriba
,@EstafaPRO
Esteban Bullrich,@estebanbullrich
,@Facundo_Moyano
Felipe Solá,@felipe_sola
,@FerEspinozaOK
Fernando Iglesias,@FerIglesias
Anibal Fernandez,@FernandezAnibal
"Fernando ""Pino"" Solanas",@fernandosolanas
Daniel Filmus,@FilmusDaniel
Gabriela Cerruti,@gabicerru
Gabriela Michetti,@gabimichetti
,@geronimovenegas
,@gracielaocana
,@GugaLusto
Héctor Timerman,@hectortimerman
,@HEMagnetto
,@HermesBinner
,@hijos_capital
Horacio Larreta,@horaciorlarreta
,@jmcapitanich
,@JonatanViale
,@jorgecoscia
Jorge Macri,@jorgemacri
,@JorgeRivasRS
,@JorgeTelerman
José Luis Gioja,@joseluisgioja
,@jpatriciomussi
,@jplacampora
Juan Abal Medina,@juanabalmedina
Juan Cabandie,@juancabandie
,@juancruzsanz
,@juanibelbis
Julio Cobos,@juliocobos
,@l_p_o
Laura Alonso,@lauritalonso
,@Leopoldo_Moreau
,@ljuez
María José Lubertino,@lubertino
,@Lubertino
,@Luis_Delia
Mario Das Neves,@mariodasneves
María Eugenia Vidal,@mariuvidal
Martín Redrado,@martinredrado
Mauricio Macri,@mauriciomacri
Miguel Pichetto,@MiguelAPichetto
,@migueldelsel
,@minplan20032015
,@minsaurralde
,@nachaguevara
Liliana Negre de Alonso,@negredealonso
,@PabloBruera
,@parrillimarcelo
Patricia Bullrich,@PatoBullrich
Paula María Bertol,@PaulaBertol
Federico Pinedo,@PinedoFederico
,@Politica_ln
,@proargentina
,@psirven
Florencio Randazzo,@RandazzoF
,@rgillavedra
Ricardo Alfonsin),@ricalfonsin
,@RICALFONSIN
,@RLavagna
Ricardo López Murphy),@rlopezmurphy
Ricardo Lorenzetti,@rlorenzetti
,@RobertoFeletti
,@romerodiario
Martín Sabbatella,@Sabbatella
,@SanzErnesto
,@sergiobergman
Sergio Massa,@SergioMassa
Margarita Stolbizer,@stolbizer
,@UCRNacional
,@VerbitskyH
,@vikidonda
,@wadodecorrido
